mean,std,variance,energy,max,min,range,diff_energy,dominant_frequency,spectral_energy,pca1_mean,pca1_std,label
-4.49757752408485e-16,0.995083122776612,0.990190421234853,0.99,3.90540814111863,-3.78635193786354,7.69176007898217,0.485002457441463,2,2.39778759891844,8.88178419700125e-18,2.18117315634659,normal
-2.45137243837235e-15,0.995083122776611,0.990190421234853,0.989999999999999,3.30692505098996,-4.06235634398165,7.36928139497161,0.472294160538195,2,1.38328043788872,6.66133814775094e-18,2.08360759688559,normal
9.82376573251014e-16,0.995083122776611,0.990190421234853,0.99,4.26015809416401,-4.39359111359018,8.65374920775419,0.484685735885906,2.5,1.82825922967566,4.44089209850063e-17,2.13703328274912,normal
1.78797148027325e-15,0.995083122776611,0.990190421234852,0.989999999999999,3.5671422829756,-3.73543833063151,7.3025806136071,0.470061453394522,4,1.78656803620605,1.02140518265514e-16,2.25975533312572,normal
-2.46367029341435e-15,0.995083122776611,0.990190421234852,0.989999999999999,5.32354597200166,-3.62025225658434,8.943798228586,0.488760436114714,2,1.85775331995054,1.86517468137026e-16,2.25533863687512,normal
1.12217927258266e-15,0.995083122776612,0.990190421234854,0.990000000000001,3.83954179285423,-4.68125138014874,8.52079317300297,0.489289865971309,3,2.81642125603189,-4.88498130835069e-17,2.05340969536595,normal
-3.80294086819679e-15,0.995083122776611,0.990190421234852,0.99,4.44152000866197,-3.59378892304781,8.03530893170978,0.485664107601286,1,1.91532099999958,-1.55431223447522e-16,2.39618653929298,normal
1.48804046008221e-15,0.995083122776612,0.990190421234853,0.99,3.52097731464154,-3.54274241866888,7.06371973331042,0.47632140140342,0.5,2.73921251360558,-5.32907051820075e-17,2.45880489298231,normal
8.91594490545126e-16,0.995083122776612,0.990190421234854,0.990000000000001,4.80591340723204,-3.27739624805912,8.08330965529116,0.482757507752244,2,2.38736943816788,2.25375273998907e-16,2.1903103719397,normal
1.37923860366894e-15,0.995083122776611,0.990190421234853,0.99,3.52496555114822,-3.72646150313048,7.2514270542787,0.469106397368424,1.5,1.93551545405493,5.32907051820075e-17,2.29251489122765,normal
